formattedAddress,city,zipCode,price,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,latitude,longitude,listedDate
"37831 Dusty Saddle Ln, Zephyrhills, FL 33541",Zephyrhills,33541,2645,Single Family,5,3.0,2377,2025.0,28.283725,-82.19142,2026-08-04
"31702 Spoonflower Cir, Zephyrhills, FL 33545",Zephyrhills,33545,2375,Single Family,3,2.5,1879,,28.259154,-82.292065,2026-08-04
"5641 Sheer Bliss Loop, Land O Lakes, FL 34639",Land O Lakes,34639,2245,Single Family,4,2.0,1938,,28.239608,-82.442033,2026-08-05
"7742 Citrus Blossom Dr, Land O Lakes, FL 34637",Land O Lakes,34637,2105,Single Family,3,2.0,1359,2003.0,28.270541,-82.46746,2026-08-05
"9320 Black Thorn Loop, Land O Lakes, FL 34638",Land O Lakes,34638,2225,Single Family,3,2.0,1830,2005.0,28.292778,-82.496181,2026-08-05
"1430 Maximilian Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,2720,Single Family,3,2.0,1690,1995.0,28.178011,-82.330814,2026-08-05
"30250 Rattana Ct, Wesley Chapel, FL 33545",Wesley Chapel,33545,2245,Single Family,3,2.0,1190,,28.250751,-82.315436,2026-08-05
"30319 Birdhouse Dr, Wesley Chapel, FL 33545",Wesley Chapel,33545,1975,Single Family,3,2.0,1158,2004.0,28.24735,-82.314636,2026-08-05
"30057 Southwell Ln, Wesley Chapel, FL 33543",Wesley Chapel,33543,2150,Townhouse,3,2.5,1853,2018.0,28.195153,-82.320166,2026-08-05
"8479 Lofty Timber Way, Wesley Chapel, FL 33545",Wesley Chapel,33545,1999,Single Family,3,2.5,1463,,28.280766,-82.300783,2026-08-05
"4744 Foxhunt Dr, Units 1024 & 1022, Wesley Chapel, FL 33543",Wesley Chapel,33543,3000,Condo,2,2.0,1420,,28.226414,-82.333313,2026-08-05
"6453 Tabogi Trl, Wesley Chapel, FL 33545",Wesley Chapel,33545,1960,Single Family,3,2.0,1292,2005.0,28.250067,-82.31591,2026-08-05
"31832 Spoonflower Cir, Wesley Chapel, FL 33545",Wesley Chapel,33545,2530,Single Family,3,2.5,2260,,28.260435,-82.290134,2026-08-05
"29566 Cedar Waxwing Dr, Wesley Chapel, FL 33545",Wesley Chapel,33545,2660,Single Family,4,2.5,1977,2022.0,28.256365,-82.325479,2026-08-05
"8513 Alpine Meadow Ln, Wesley Chapel, FL 33545",Wesley Chapel,33545,2049,Single Family,3,2.5,1464,,28.281027,-82.299962,2026-08-05
"26926 Stillbrook Dr, Wesley Chapel, FL 33544",Wesley Chapel,33544,2749,Single Family,4,2.5,2278,,28.208558,-82.370747,2026-08-05
"6410 Buckhead Ct, Wesley Chapel, FL 33545",Wesley Chapel,33545,2050,Single Family,3,2.0,1440,2004.0,28.250182,-82.309044,2026-08-05
"4610 Audrey Ln, New Port Richey, FL 34652",New Port Richey,34652,1295,Apartment,2,1.0,750,,28.224897,-82.726898,2026-08-05
"2864 Coach Manors Way, New Port Richey, FL 34655",New Port Richey,34655,2375,Single Family,3,2.5,1801,,28.200487,-82.672512,2026-08-05
"11616 Leda Ln, New Port Richey, FL 34654",New Port Richey,34654,2180,Single Family,3,2.0,1675,,28.269806,-82.622816,2026-08-05
"35491 Shade Fern Ln, Zephyrhills, FL 33541",Zephyrhills,33541,1970,Single Family,3,2.0,1412,2022.0,28.249362,-82.229579,2026-08-05
"6035 Pointe Pleasant Blvd, Zephyrhills, FL 33545",Zephyrhills,33545,2155,Single Family,4,2.0,1415,,28.244949,-82.342735,2026-08-05
"4719 Tangelo Dr, Zephyrhills, FL 33541",Zephyrhills,33541,1800,Single Family,2,2.0,1517,,28.22587,-82.24379,2026-08-05
"4550 Charter St, Zephyrhills, FL 33542",Zephyrhills,33542,1495,Single Family,2,2.0,1008,1989.0,28.224135,-82.184761,2026-08-05
"37739 Rattlesnake Trl, Zephyrhills, FL 33541",Zephyrhills,33541,2365,Single Family,4,2.5,1977,2026.0,28.283037,-82.192142,2026-08-05
"3457 Bellericay Ln, Land O Lakes, FL 34638",Land O Lakes,34638,2040,Single Family,3,2.0,1158,2009.0,28.208457,-82.533862,2026-08-06
"18447 Red Willow Way, Land O Lakes, FL 34638",Land O Lakes,34638,2595,Single Family,3,2.0,2150,,28.301633,-82.51064,2026-08-06
"2546 Bartolo Dr, Land O Lakes, FL 34639",Land O Lakes,34639,2695,Single Family,3,2.0,1979,,28.193581,-82.419453,2026-08-06
"18025 Cypress Bay Pkwy, Land O Lakes, FL 34638",Land O Lakes,34638,2130,Single Family,3,2.0,1484,2008.0,28.303555,-82.516462,2026-08-06
"17051 Lixberry Way, Land O Lakes, FL 34638",Land O Lakes,34638,2415,Single Family,4,2.5,1892,2008.0,28.208982,-82.533038,2026-08-06
"18934 Randall Pl, Land O Lakes, FL 34638",Land O Lakes,34638,2085,Single Family,3,2.5,1545,2009.0,28.296631,-82.502448,2026-08-06
"9253 Black Thorn Loop, Land O Lakes, FL 34638",Land O Lakes,34638,2295,Single Family,4,2.0,1824,2005.0,28.292476,-82.495643,2026-08-06
"7742 Citrus Blossom Dr, Land O Lakes, FL 34637",Land O Lakes,34637,2085,Single Family,3,2.0,1359,2003.0,28.270541,-82.46746,2026-08-06
"4615 Winding River Way, Land O Lakes, FL 34639",Land O Lakes,34639,1835,Condo,3,2.5,1536,2005.0,28.221848,-82.386729,2026-08-06
"17634 Terrazzo Way, Land O Lakes, FL 34638",Land O Lakes,34638,2600,Townhouse,3,2.0,1755,2017.0,28.218118,-82.525136,2026-08-06
"30319 Birdhouse Dr, Wesley Chapel, FL 33545",Wesley Chapel,33545,1945,Single Family,3,2.0,1158,2004.0,28.24735,-82.314636,2026-08-06
"29942 Morningmist Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,2340,Single Family,4,2.0,1665,1998.0,28.183667,-82.32279,2026-08-06
"3636 Grecko Dr, Wesley Chapel, FL 33543",Wesley Chapel,33543,2140,Single Family,3,2.0,1528,,28.210263,-82.270887,2026-08-06
"30250 Rattana Ct, Wesley Chapel, FL 33545",Wesley Chapel,33545,2210,Single Family,3,2.0,1190,,28.250751,-82.315436,2026-08-06
"6452 Tabogi Trl, Wesley Chapel, FL 33545",Wesley Chapel,33545,1910,Single Family,3,2.0,1292,2005.0,28.250478,-82.315811,2026-08-06
